"Ticker","Nome","Negócios","Última (R$)","Variação"
"MELK3","Melnick","1.334.600","3,39","+0,59%"
"OIBR3","Oi","1.324.900","4,95","-6,95%"
"GRND3","Grendene","1.303.800","6,00","-0,66%"
"PSSA3","Porto Seguro","1.296.500","34,06","+0,86%"
"GUAR3","Guararapes","1.266.200","8,66","+0,81%"
"WIZC3","Wiz Soluções","1.177.800","6,17","+2,83%"
"TTEN3","3tentos","1.173.800","11,97","+0,34%"
"PGMN3","Pague Menos","1.171.300","3,08","-2,22%"
"FESA4","Ferbasa","1.121.400","8,15","+1,24%"
"JFEN3","João Fortes","1.058.000","0,21","-4,55%"
"MDIA3","M. Dias Branco","1.026.000","27,16","-1,16%"
"ITUB3","Itaú Unibanco","968.500","31,79","-1,15%"
"ODPV3","Odontoprev","964.300","11,26","+0,99%"
"BRAP3","Bradespar","943.800","17,90","+0,62%"
"JALL3","Jalles Machado","937.100","6,72","+1,05%"
"LAVV3","Lavvi Incorporadora","930.800","8,30","-3,38%"
"ARML3","Armac","888.800","8,65","+1,29%"
"AZEV3","Azevedo & Travassos","876.300","1,50","+7,14%"
"CMIG3","CEMIG","822.200","14,37","+2,72%"
"ABCB4","Banco ABC Brasil","808.600","23,25","+0,35%"
"MTRE3","Mitre Realty","776.300","3,72","-1,06%"
"EVEN3","Even","765.000","6,35","-1,40%"
"LOGG3","LOG CP","756.300","23,40","-0,64%"
"AMAR3","Lojas Marisa","746.700","1,17","+1,74%"
"VLID3","Valid","745.700","22,75","-0,26%"
"AMBP3","Ambipar","743.600","71,26","+1,54%"
"BLAU3","Blau Farmacêutica","703.800","13,97","+5,28%"
"VULC3","Vulcabras","670.300","17,67","+0,80%"
"CAML3","Camil Alimentos","663.100","9,53","+1,71%"
"ROMI3","Indústrias ROMI","655.200","11,00","+1,38%"
"LEVE3","Mahle Metal Leve","652.700","32,06","+2,07%"
"INTB3","Intelbras","646.100","22,04","-1,30%"
"TUPY3","Tupy","645.700","27,36","+1,00%"
"USIM3","Usiminas","626.100","6,09","+1,33%"
"BMGB4","Banco BMG","625.600","3,79","-1,04%"
"MDNE3","Moura Dubeux","595.100","14,25","-0,49%"
"FRAS3","Fras-le","568.300","19,74","+1,18%"
"AGXY3","AgroGalaxy","548.800","1,23","+2,50%"
"HBRE3","HBR Realty","535.300","5,37","+2,48%"
"ORVR3","Orizon","529.900","46,27","-0,77%"
"HBOR3","Helbor","516.300","2,07","-1,43%"
"PNVL3","Dimed","510.200","10,07","-1,08%"
"MEAL3","IMC Alimentação","501.200","1,59","-1,24%"
"CSED3","Cruzeiro do Sul Educacional","477.400","3,65","+1,11%"
"TASA4","Taurus","477.100","11,28","+1,53%"
"FIQE3","Unifique","432.400","3,80","+0,26%"
"PDGR3","PDG Realty","412.500","0,16","+0,00%"
"TRAD3","Traders Club","405.700","3,11","-1,89%"
"UNIP6","Unipar","398.800","47,28","-0,63%"
"SYNE3","SYN","377.100","7,96","-0,87%"
"KLBN3","Klabin","371.000","4,32","+0,00%"
"POMO3","Marcopolo","370.800","5,77","+6,26%"
"BMOB3","Bemobi","354.500","15,94","-0,13%"
"TRIS3","Trisul","345.600","4,62","+0,00%"
"AGRO3","BrasilAgro","332.800","25,91","+0,86%"
"TGMA3","Tegma","320.600","26,25","+2,14%"
"SHUL4","Schulz","304.400","6,69","+1,36%"
"LPSB3","Lopes","285.500","1,65","-2,37%"
"SHOW3","Time For Fun","279.600","1,09","-2,68%"
"PTBL3","Portobello","278.500","4,89","+0,00%"
"BRIT3","Brisanet","264.600","3,53","+0,00%"
"NGRD3","Neogrid","260.400","1,31","-2,24%"
"SEER3","Ser Educacional","235.100","6,45","+0,00%"
"ESPA3","Espaçolaser","232.700","1,06","+0,00%"
"VITT3","Vittia","231.200","6,19","-1,59%"
"ETER3","Eternit","223.600","5,86","+0,17%"
"RCSL4","Recrusul","219.700","0,90","+1,12%"
"PMAM3","Paranapanema","195.200","1,85","-2,63%"
"PRNR3","Priner","192.400","13,28","-0,60%"
"TECN3","Technos","175.800","5,43","+1,50%"
"PFRM3","Profarma","167.400","6,32","+1,12%"
"PINE4","Banco Pine","162.800","4,86","-0,82%"
"TAEE4","Taesa","140.900","11,88","+0,76%"
"SAPR3","Sanepar","138.200","5,40","-0,74%"
"WEST3","Westwing","105.200","0,90","-2,17%"
"TPIS3","Triunfo","101.000","4,47","+5,18%"
"ITSA3","Itaúsa","100.700","10,90","-0,91%"
"LAND3","Terra Santa","99.700","12,70","-0,78%"
"LUPA3","Lupatech","98.300","1,52","-1,30%"
"DESK3","Desktop","94.700","15,40","-0,13%"
"DOTZ3","Dotz","91.000","8,81","-2,11%"
"SANB3","Banco Santander","84.000","14,94","-0,07%"
"VTRU3","VITRUBREPCOM","79.200","10,14","+0,50%"
"ALPK3","Estapar","75.800","3,74","-0,80%"
"TAEE3","Taesa","71.600","11,77","+0,68%"
"ELMD3","Eletromidia","71.200","18,00","+1,81%"
"CTSA4","Santanense","66.000","1,39","+12,10%"
"SANB4","Banco Santander","63.700","16,40","+0,49%"
"PDTC3","Padtec","62.800","2,11","+2,93%"
"DMVF3","D1000 Varejo Farma","54.500","7,12","-0,42%"
"BIOM3","Biomm","53.900","9,01","+5,63%"
"CAMB3","Cambuci","52.900","12,68","+3,09%"
"INEP3","Inepar","51.800","2,04","-0,97%"
"KRSA3","Kora Saúde","50.200","0,61","+0,00%"
"RPMG3","Refinaria de Manguinhos","50.100","3,05","+5,54%"
"UCAS3","Unicasa","49.900","2,32","+3,57%"
"TCSA3","Tecnisa","47.100","1,96","+0,51%"
"TFCO4","Track & Field","43.600","11,93","+1,88%"
"EUCA4","Eucatex","41.900","15,65","-0,25%"
"VIVR3","Viver","37.700","2,35","-2,89%"
"FRIO3","Metalfrio","36.500","190,00","+26,67%"
"AALR3","Alliança","35.500","16,00","+1,33%"
"SCAR3","São Carlos","32.300","24,80","+4,42%"
"GGBR3","Gerdau","32.300","16,21","-0,49%"
"RNEW4","Renova Energia","32.100","0,99","+3,12%"
"ALLD3","Allied","31.600","7,53","+0,80%"
"DEXP3","Dexxos","31.100","9,71","-0,10%"
"CSUD3","CSU Cardsystem","29.200","19,25","+3,38%"
"RNEW3","Renova Energia","25.700","1,02","+3,03%"
"OFSA3","Ourofino Saúde Animal","24.300","22,69","-0,92%"
"EALT4","Electro Aço Altona","23.200","13,49","+4,25%"
"GOAU3","Metalúrgica Gerdau","20.300","10,55","-1,40%"
"LOGN3","Log-In","19.200","35,01","-4,40%"
"AVLL3","Alphaville","18.600","4,01","-0,25%"
